Time,Close,Open,High,Low,Volume
2003-03-03,1525.48,1511.59,1525.7,1511.05,877540000
2003-02-28,1511.93,1512.87,1514.5,1501.42,646580000
2003-02-27,1513.7,1513.17,1524.75,1508.75,760380000
2003-02-26,1513.17,1513.49,1515.46,1506.55,690790000
2003-02-25,1511.28,1481.11,1511.65,1481.11,968950000
2003-02-24,1481.94,1476.07,1488.07,1474.47,639280000
2003-02-21,1478.87,1508.08,1508.13,1476.41,975140000
2003-02-20,1509.49,1513.01,1517.77,1507.23,813630000
2003-02-19,1510.8,1496.65,1511.13,1490.02,835270000
2003-02-18,1496.47,1495.14,1500.29,1488.83,659430000
2003-02-17,1496.52,1510.64,1514.64,1490.92,938420000
2003-02-14,1510.95,1503.37,1515.26,1500.98,817430000
2003-02-13,1504.34,1512.29,1519.29,1502.43,1110000000
2003-02-12,1510.67,1493.25,1510.98,1486.31,925610000
2003-02-11,1492.76,1478.05,1492.89,1476.87,537490000
2003-02-10,1480.17,1499.17,1499.64,1477.52,667250000
2003-01-29,1499.82,1501.29,1508.59,1498.37,990550000
2003-01-28,1500.64,1497.1,1502.43,1489.16,889200000
2003-01-27,1496.16,1481.61,1500.38,1480.97,1200000000
2003-01-24,1479.07,1449.5,1483.56,1448.01,1310000000
2003-01-23,1450.62,1460.25,1470.33,1448.7,976510000
2003-01-22,1460.53,1448.83,1463.94,1446.35,1030000000
2003-01-21,1454.89,1485.87,1489.55,1454.61,1320000000
2003-01-20,1482.68,1475.71,1482.94,1458.12,1400000000
2003-01-17,1478.67,1488.27,1492.72,1472.96,1860000000
2003-01-16,1485.62,1458.87,1486.06,1454.55,2130000000
2003-01-15,1459.92,1477.45,1485.8,1448.27,3250000000
2003-01-14,1466.85,1386.9,1476.91,1386.59,3180000000
2003-01-13,1386.31,1381.87,1391.19,1378.65,787620000
2003-01-10,1384.86,1398.38,1411.37,1384.63,1460000000
2003-01-09,1397.38,1374.62,1402.29,1365.37,1620000000
2003-01-08,1372.07,1331.44,1373.12,1330.45,847730000
2003-01-07,1332.06,1335.63,1346.82,1326.19,654710000
2003-01-06,1334.68,1319.69,1334.89,1311.68,585050000
2003-01-03,1319.87,1317.58,1323.63,1312.8,364930000
2003-01-02,1320.63,1347.43,1351.34,1317.47,506570000
2002-12-31,1357.65,1364.97,1370.53,1348.71,650580000
2002-12-30,1366.36,1379.74,1379.75,1358.43,634730000
2002-12-27,1382.97,1379.33,1389.33,1367.85,685800000
2002-12-26,1384.15,1419.96,1420,1382.36,865210000
2002-12-25,1421.52,1431.59,1433.79,1420.93,543470000
2002-12-24,1430.83,1429.53,1431.12,1420.38,530690000
2002-12-23,1430.2,1429.95,1439.85,1429.29,638550000
2002-12-20,1427.94,1414.35,1431.36,1410.46,634340000
2002-12-19,1413.6,1411.28,1414.29,1402.64,482580000
2002-12-18,1411.72,1416.67,1424.48,1409.84,635420000
2002-12-17,1416.1,1409.17,1418.2,1403.58,581890000
2002-12-16,1408.52,1397.72,1409.94,1392.89,649100000
2002-12-13,1396.9,1375.78,1401.6,1367.93,559800000
2002-12-12,1383.91,1378.82,1399.77,1378.81,437990000
2002-12-11,1379.19,1381.4,1383.15,1367.31,442720000
2002-12-10,1383.84,1400.56,1406.89,1383.57,517750000
2002-12-09,1400.87,1404.51,1410.79,1395.93,328330000
2002-12-06,1405.53,1404.92,1417,1396.2,381720000
2002-12-05,1404.88,1411.89,1411.89,1395.08,478250000
2002-12-04,1414.45,1414.89,1432.9,1406.61,769690000
2002-12-03,1408.84,1391.72,1409.89,1388.51,522010000
2002-12-02,1395.67,1432.03,1432.03,1394.91,669510000
2002-11-29,1434.18,1420.43,1450.19,1409.2,1510000000
2002-11-28,1417.53,1378.14,1417.85,1372.38,794630000
2002-11-27,1378.75,1365.82,1384,1353.14,725720000
2002-11-26,1371.17,1398.44,1408.79,1371.01,532250000
2002-11-25,1398.44,1393.34,1403.51,1383.09,445880000
2002-11-22,1395.5,1392.57,1409,1375.54,676740000
2002-11-21,1390.63,1421.23,1421.23,1389.29,682790000
2002-11-20,1425.84,1459.21,1459.21,1423.8,569390000
2002-11-19,1462.17,1450.7,1464.76,1441.73,422840000
2002-11-18,1451.29,1463.72,1468.33,1447.49,412220000
2002-11-15,1463.69,1455.98,1481.22,1451.39,600440000
2002-11-14,1460.8,1488.91,1489.14,1459.71,531660000
2002-11-13,1490.46,1483.71,1491.24,1461.26,640030000
2002-11-12,1485.91,1504.58,1517.72,1481.16,806370000
2002-11-11,1504.4,1519.6,1526.13,1501.99,439870000
2002-11-08,1522.19,1570,1573.1,1517.39,940120000
2002-11-07,1554.24,1554.04,1559.82,1546.27,640630000
2002-11-06,1552.56,1558.91,1559.22,1548.73,647950000
2002-11-05,1558.24,1533.81,1565.23,1532.29,1190000000
2002-11-04,1531.84,1516.22,1532.23,1515.07,490830000
2002-11-01,1510.76,1507.38,1511.1,1498.21,358180000
2002-10-31,1507.5,1510.03,1521.87,1506,357920000
2002-10-30,1509.71,1511.11,1513.46,1498.45,374860000
2002-10-29,1510.88,1501.38,1511.77,1488.68,464590000
2002-10-28,1502.72,1518.09,1518.6,1500.01,508270000
2002-10-25,1520.31,1535.8,1542.59,1517.41,529280000
2002-10-24,1536.52,1549.79,1550.43,1535.9,442280000
2002-10-23,1548.96,1549.77,1550.09,1539.48,473000000
2002-10-22,1548.1,1525.08,1553.87,1525.07,648190000
2002-10-21,1524.92,1519.2,1525.26,1512.33,345670000
2002-10-18,1519.54,1511.18,1523.83,1500.54,408730000
2002-10-17,1513.1,1537.96,1538.79,1511.4,416900000
2002-10-16,1537.39,1524.91,1548.53,1524.91,499620000
2002-10-15,1524.73,1531.58,1534.58,1522.1,374170000
2002-10-14,1531.68,1522.87,1532.63,1509.14,549650000
2002-10-11,1524.05,1532.14,1536.87,1521.91,610710000
2002-10-10,1530.41,1532.18,1542.56,1528.35,508700000
2002-10-09,1535.37,1570.65,1571.52,1534.91,1690000000
2002-10-08,1562.99,1577.05,1577.05,1558.48,262380000
2002-09-27,1581.62,1587.24,1591.84,1577.53,390560000
2002-09-26,1587.65,1597.85,1599.98,1586.53,405340000
2002-09-25,1597.84,1595.81,1602.35,1590.49,357660000
2002-09-24,1596.73,1602.2,1602.29,1594.28,317500000
2002-09-23,1602.59,1602.28,1604.3,1597.29,249710000
2002-09-20,1604.91,1618.2,1618.2,1602.88,348520000
2002-09-19,1619.35,1593.57,1623.65,1585.07,550510000
2002-09-18,1594.58,1603.61,1605.22,1593.53,342690000
2002-09-17,1604.88,1603.46,1612.02,1593.98,428530000
2002-09-16,1604.08,1624.13,1624.14,1598.74,443820000
2002-09-13,1625.76,1624.5,1626.07,1621.42,306180000
2002-09-12,1624.56,1619.94,1631.66,1614.6,342850000
2002-09-11,1620.36,1625.33,1626.84,1605.98,435280000
2002-09-10,1625.11,1620.28,1627.35,1619.33,351200000
2002-09-09,1621.58,1628.45,1628.45,1617.01,418260000
2002-09-06,1631.38,1639.89,1644.8,1629.93,539430000
2002-09-05,1641.81,1662.89,1662.9,1639.82,601620000
2002-09-04,1663.97,1674.45,1675.96,1662.49,395060000
2002-09-03,1674.07,1669.59,1680.28,1669.58,386770000
2002-09-02,1668.77,1666.34,1669.9,1663.17,344460000
2002-08-30,1666.62,1666.98,1669.14,1664.82,395080000
2002-08-29,1667.32,1676.86,1680.17,1665.72,435040000
2002-08-28,1676.77,1680.75,1683.51,1675.53,559890000
2002-08-27,1679.69,1670.63,1680.06,1670.11,613370000
2002-08-26,1670.68,1682.14,1682.32,1668.82,495180000
2002-08-23,1683.21,1686.3,1688.12,1679.12,549980000
2002-08-22,1686.11,1672.7,1696.28,1672.43,888270000
2002-08-21,1673.55,1671.99,1677.95,1668.36,624340000
2002-08-20,1671.35,1644.62,1673.91,1644.25,806280000
2002-08-19,1644.3,1645.93,1650.09,1641.4,354080000
2002-08-16,1646.79,1632.96,1652.98,1624.05,571630000
2002-08-15,1634.37,1646.62,1647.07,1632.13,320740000
2002-08-14,1646.72,1636.89,1647.09,1635.29,296340000
2002-08-13,1636.63,1633.68,1642.41,1633.55,292340000
2002-08-12,1634.57,1642.48,1642.59,1633.09,419620000
2002-08-09,1647.05,1658.44,1658.77,1642.77,463680000
2002-08-08,1659.8,1668.51,1675.3,1657.47,401310000
2002-08-07,1668.07,1670.17,1670.81,1663.93,349660000
2002-08-06,1670.62,1652.94,1679.81,1649.89,678120000
